,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
5376,Reported 13-Jan-1912,1912,Unprovoked,FIJI,VITI LEVU GROUP,Beqa,Washed overboard,M,7,FATAL,Y,UNKNOWN,UNKNOWN,1912,JAN,UNKONWN,No,FATAL INJURY,UNKONWN
5377,06-Jan-1912,1912,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Sydney Harbor,UNKNOWN,M,UNKNOWN,Thigh & lower abdomen severely bitten,N,UNKNOWN,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel",1912,JAN,UNKONWN,No,BITTEN,UNKONWN
5378,01-Jan-1912,1912,Unprovoked,AUSTRALIA,QUEENSLAND,Ross Creek,Bathing,M,UNKNOWN,FATAL,Y,Morning,UNKNOWN,1912,JAN,BATHING,No,FATAL INJURY,UNKONWN
5379,1912,1912,Unprovoked,SPAIN,BALEARICS,Isla Cabrera,Fell into the water,M,UNKNOWN,FATAL,Y,UNKNOWN,White shark,1912,UNKNOWN,UNKONWN,No,FATAL INJURY,WHITE
5381,26-Oct-1911,1911,Unprovoked,USA,SOUTH CAROLINA,Off Charleston,Fell overboard from steamship Rio Grande,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1911,OCT,UNKONWN,No,FATAL INJURY,UNKONWN
5382,25-Oct-1911,1911,Unprovoked,AUSTRALIA,QUEENSLAND,Great Barrier Reef,Diving,M,23,Calves bitten,N,Evening,UNKNOWN,1911,OCT,DIVING,No,BITTEN,UNKONWN
5383,23-Sep-1911,1911,Unprovoked,USA,TEXAS,Galveston Ship Channel,Jumped overboard to rescue companion,M,UNKNOWN,FATAL,Y,Early morning,UNKNOWN,1911,SEP,UNKONWN,No,FATAL INJURY,UNKONWN
5384,20-Sep-1911,1911,Unprovoked,USA,FLORIDA,"Pensacola Bay, Escambia County",Fell overboard & swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1911,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
5385,17-Sep-1911,1911,Unprovoked,USA,FLORIDA,"Pablo Beach, Jacksonville, Duval County",Bathing,M,UNKNOWN,Left arm & thigh bitten,N,UNKNOWN,UNKNOWN,1911,SEP,BATHING,No,BITTEN,UNKONWN
5386,Reported 31-Jul-1911,1911,Unprovoked,SPAIN,MÁLAGA,Ceuta,Bathing,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1911,JUL,BATHING,No,FATAL INJURY,UNKONWN
5387,Reported 16-Jul-1911,1911,Provoked,USA,DELAWARE,Delaware Lightship,Fishing,M,UNKNOWN,"Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT",N,UNKNOWN,UNKNOWN,1911,JUL,FISHING,Yes,OTHERS,UNKONWN
5388,09-May-1911,1911,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Victoria Bay,Bathing,M,64,"FATAL, partial remains recovered",Y,"""Early evening""",UNKNOWN,1911,MAY,BATHING,No,FATAL INJURY,UNKONWN
5389,Reported 01-May-1911,1911,Provoked,USA,TEXAS,"Rockport, Aransas County",Fishing,M,UNKNOWN,Bitten on left leg by hooked shark PROVOKED INCIDENT,N,UNKNOWN,5' shark,1911,MAY,FISHING,Yes,BITTEN,UNKONWN
5390,01-May-1911,1911,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Victoria Bay,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1911,MAY,SWIMMING,No,FATAL INJURY,UNKONWN
5391,Reported 08-Apr-1911,1911,Boat,NEW ZEALAND,CHATHAM ISLANDS,UNKNOWN,Fishing,X,UNKNOWN,"No injury to occupants, shark bit boat",N,UNKNOWN,UNKNOWN,1911,APR,FISHING,Yes,NO INJURY,UNKONWN
5392,Reported 29-Mar-1911,1911,Unprovoked,AUSTRALIA,TORRES STRAIT,Thursday Island,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1911,MAR,SWIMMING,No,FATAL INJURY,UNKONWN
5393,04-Jan-1911,1911,Sea Disaster,AUSTRALIA,WESTERN AUSTRALIA,Off Legendre Island,3-masted steel barque Glenbank foundered during a cyclone,M,22,Minor injuries,N,UNKNOWN,UNKNOWN,1911,JAN,DURING,No,MINOR INJURIES,UNKONWN
5394,1911,1911,Unprovoked,USA,TEXAS,"Texas City, Galveston",Swimming,M,UNKNOWN,Minor injury to feet,N,UNKNOWN,UNKNOWN,1911,UNKNOWN,SWIMMING,No,MINOR INJURIES,UNKONWN
5395,Ca. 1911,1911,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Manukau Harbor, 6 miles south of Auckland",Fishing,M,50,FATAL,Y,UNKNOWN,UNKNOWN,1911,UNKNOWN,FISHING,Yes,FATAL INJURY,UNKONWN
5397,Reported 23-Dec-1910,1910,Sea Disaster,AUSTRALIA,WESTERN AUSTRALIA,Fremantle,Shipwrecked pearling schooner,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1910,DEC,PEARLING,No,FATAL INJURY,UNKONWN
5398,28-Nov-1910,1910,Provoked,NORTH ATLANTIC OCEAN,GEORGES BANK,UNKNOWN,Fishing,M,UNKNOWN,Right hand severely bitten by netted shark PROVOKED INCIDENT,N,UNKNOWN,Angel shark,1910,NOV,FISHING,Yes,BITTEN,ANGEL
5399,24-Nov-1910,1910,Unprovoked,AUSTRALIA,QUEENSLAND,Mackay,Bathing,M,UNKNOWN,Foot bitten,N,UNKNOWN,Said to involve  9' blue shark,1910,NOV,BATHING,No,BITTEN,BLUE
5400,Reported 25-Jun-1910,1910,Unprovoked,MEXICO,UNKNOWN,LaBarra,Swimming,M,UNKNOWN,Leg bitten,N,UNKNOWN,UNKNOWN,1910,JUN,SWIMMING,No,BITTEN,UNKONWN
5401,Reported 08-Jun-1910,1910,Sea Disaster,MOZAMBIQUE,ZAMBESI RIVER,Portuguese territory,"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",X,UNKNOWN,"FATAL, 3 passengers & 14 crew taken by sharks, captain, 1 passenger & 2 crew survived",Y,UNKNOWN,UNKNOWN,1910,JUN,UNKONWN,No,FATAL INJURY,UNKONWN
5403,31-Mar-1910,1910,Unprovoked,PANAMA,COLÓN PROVINCE,Cristobal,Fell overboard from USS cruiser Tacoma,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1910,MAR,UNKONWN,No,FATAL INJURY,UNKONWN
5404,08-Mar-1910,1910,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Waikanae Beach, Gisborne",Swimming,M,UNKNOWN,Lacerations to foot,N,Evening,6' shark,1910,MAR,SWIMMING,No,LACERATIONS,UNKONWN
5406,  16-Feb-1910,1910,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Bunbury,Surf bathing,M,UNKNOWN,"Shoulder, back & leg bitten",N,Night,5.5' to 6' shark,1910,FEB,BATHING,No,BITTEN,UNKONWN
5407,26-Jan-1910,1910,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Newcastle Harbor,UNKNOWN,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1910,JAN,UNKONWN,No,FATAL INJURY,UNKONWN
5409,1910,1910,Unprovoked,PHILIPPINES,LUZON ISLAND,"Polinao Point, Manila",Swimming,M,UNKNOWN,"Calf removed, not known if he survived ",UNKNOWN,UNKNOWN,6 m [20'] shark,1910,UNKNOWN,SWIMMING,No,OTHERS,UNKONWN
5410,Reported 26-Nov-1909,1909,Unprovoked,USA,FLORIDA,"16 miles north of Fort Pierce Inlet, Indian River County",UNKNOWN,M,UNKNOWN,Severe lacerations to arm,N,UNKNOWN,UNKNOWN,1909,NOV,UNKONWN,No,LACERATIONS,UNKONWN
5411,Reported 15-Dec-1909,1909,Unprovoked,AUSTRALIA,NEW SOUTH WALES,20 miles off Sydney,Fell overboard,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1909,DEC,UNKONWN,No,FATAL INJURY,UNKONWN
5412,05-Dec-1909,1909,Provoked,AUSTRALIA,NEW SOUTH WALES,Bondi,Fishing,M,UNKNOWN,3 fingers bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,7' shark,1909,DEC,FISHING,Yes,BITTEN,UNKONWN
5413,14-Nov-1909 to 19-Nov-1909,1909,Sea Disaster,INDONESIA,30 NM FROM SINGAPORE,Rhio Strait,The 2379-ton French steamer La Seyne collied with British steamer Onda & sank in minutes. Passengers jumped overboard expecting to be picked up by Ondas boats,X,UNKNOWN,"FATAL, 101 people perished, including commander, Joseph Couailhac. Iit was reported that a shoal of sharks circled  passengers in the water and dragged scores of people to their deaths Of the 61 survivors, many were injured by sharks",Y,UNKNOWN,UNKNOWN,1909,NOV,EXPECTING,No,FATAL INJURY,UNKONWN
5414,Reported 04-Sep-1909,1909,Provoked,USA,DELAWARE,"Lewes, Sussex County",Seine netting,M,UNKNOWN,Abrasion to leg from netted shark PROVOKED INCIDENT,N,UNKNOWN,5' shark,1909,SEP,NETTING,No,OTHERS,UNKONWN
5415,13-Aug-1909,1909,Unprovoked,USA,FLORIDA,"Pensacola Bay, Escambia County",Fell overboard from fishing schooner Halycon,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1909,AUG,FISHING,Yes,FATAL INJURY,UNKONWN
5416,24-Jul-1909,1909,Unprovoked,USA,NEW YORK,Rockaway,Fell overboard while fishing for sharks,M,UNKNOWN,Right leg bitten,N,Afternoon,UNKNOWN,1909,JUL,FISHING,Yes,BITTEN,UNKONWN
5417,15-Jul-1909,1909,Unprovoked,USA,FLORIDA,"Panama City, Bay County",Swimming,M,16,Hip & thigh lacerated,N,UNKNOWN,UNKNOWN,1909,JUL,SWIMMING,No,LACERATIONS,UNKONWN
5418,Reported 26-Jun-1909,1909,Unprovoked,MEXICO,GUERRERO,Zacatula,Bathing,F,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1909,JUN,BATHING,No,FATAL INJURY,UNKONWN
5419,26-Jun-1909,1909,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Cape Town,UNKNOWN,M,UNKNOWN,Remains of soldier in uniform. Probable drowning & scavenging,Y,UNKNOWN,18-foot shark,1909,JUN,UNKONWN,No,OTHERS,FOOT
5420,18-Jun-1909,1909,Sea Disaster,AUSTRALIA,QUEENSLAND,"Middleton Reef, 300 nm from Brisbane","1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,UNKNOWN,"FATAL, only his legs, still in sea-boots, were recovered ",Y,UNKNOWN,UNKNOWN,1909,JUN,UNKONWN,No,FATAL INJURY,UNKONWN
5421,Reported 27-Apr-1909,1909,Provoked,SPAIN,ANDALUCIA,"Puente Mayorga, San Roque, Cádiz",Fishing,M,UNKNOWN,Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,1909,APR,FISHING,Yes,NO INJURY,UNKONWN
5423,Reported 09-Apr-1909,1909,Unprovoked,TUNISIA,SFAX,UNKNOWN,Diving (Helmet) for sponges,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1909,APR,DIVING,No,FATAL INJURY,UNKONWN
5424,06-Mar-1909,1909,Sea Disaster,SOUTH AFRICA,SOUTH ATLANTIC OCEAN,Possession Island,Wreck of the 1308-ton Norwegian ship Auckland,F,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1909,MAR,UNKONWN,No,FATAL INJURY,UNKONWN
5427,1909,1909,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Woy Woy,UNKNOWN,X,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,1909,UNKNOWN,UNKONWN,No,OTHERS,UNKONWN
5428,31-Dec-1908,1908,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Stilbaai,Swimming,M,16,FATAL,Y,UNKNOWN,UNKNOWN,1908,DEC,SWIMMING,No,FATAL INJURY,UNKONWN
5429,Reported 16-Dec-1908,1908,Unprovoked,MEXICO,QUINTANA ROO,UNKNOWN,Swimming ashore from capsized boat,M,UNKNOWN,"FATAL, ""bitten in two""",Y,UNKNOWN,UNKNOWN,1908,DEC,SWIMMING,No,FATAL INJURY,UNKONWN
5430,   21-Sep-1908,1908,Unprovoked,AUSTRALIA,TORRES STRAIT,Thursday Island,Fell from the jetty,M,UNKNOWN,FATAL,Y,UNKNOWN,Remains recovered from 3 sharks,1908,SEP,UNKONWN,No,FATAL INJURY,UNKONWN
5431,05-Sep-1908,1908,Unprovoked,USA,CALIFORNIA,"Redondo, Los Angeles County",On fishing boat & trailing hand in the water,M,UNKNOWN,Lacerations to fingers,N,UNKNOWN,UNKNOWN,1908,SEP,FISHING,Yes,LACERATIONS,UNKONWN
5432,Reported 28-Aug-1908,1908,Unprovoked,SPAIN,GALICIA,Cape Finisterre,Fell overboard from P&O steamship Arabia,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1908,AUG,UNKONWN,No,FATAL INJURY,UNKONWN
5434,Reported 08-Jul-1908,1908,Unprovoked,CROATIA,ADRIATIC SEA,Medola,Boating,F,UNKNOWN,"FATAL, lost a leg",Y,UNKNOWN,"Species unknown, possible white shark",1908,JUL,BOATING,No,FATAL INJURY,WHITE
5435,18-Jun-1908,1908,Unprovoked,EGYPT,GULF OF SUEZ,Off Ras Gharib,The 168-ton Belmore foundered in heavy seas,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1908,JUN,UNKONWN,No,FATAL INJURY,UNKONWN
5436,08-Jun-1908,1908,Sea Disaster,USA,GEORGIA,UNKNOWN,The British steamer Caribbee foundered,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1908,JUN,UNKONWN,No,FATAL INJURY,UNKONWN
5437,Reported 02-Jun-1908,1908,Sea Disaster,PAPUA NEW GUINEA,NEW BRITAIN,Matupi,.,X,UNKNOWN,"Remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed",Y,UNKNOWN,Allegedly a 33-foot shark,1908,JUN,UNKONWN,No,OTHERS,FOOT
5438,13-May-1908,1908,Sea Disaster,INDONESIA,JAVA,Jakarta Harbor,native boats sunk in storm,F,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1908,MAY,UNKONWN,No,FATAL INJURY,UNKONWN
5440,08-Jan-1908,1908,Unprovoked,USA,HAWAII,"Mana, Kaua'i",Gathering fish stunned by dynamite,M,UNKNOWN,"FATAL, ""pulled below the surface'  ",Y,UNKNOWN,UNKNOWN,1908,JAN,GATHERING,No,FATAL INJURY,UNKONWN
5441,21-Dec-1907,1907,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",Bathing,M,UNKNOWN,FATAL,Y,UNKNOWN,Bull shark,1907,DEC,BATHING,No,FATAL INJURY,BULL
5442,Reported 18-Oct-1907,1907,Unprovoked,AUSTRALIA,TORRES STRAIT,Near Thursday Island,Bathing,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1907,OCT,BATHING,No,FATAL INJURY,UNKONWN
5443,Reported 16-Oct-1907,1907,Unprovoked,CHINA,HONG KONG,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M,UNKNOWN,"3 of thel 5 were injured, one of whom lost both hands",N,UNKNOWN,Shark involvement probable,1907,OCT,FISHING,Yes,INJURED,UNKONWN
5444,Reported 16-Oct-1907,1907,Unprovoked,CHINA,HONG KONG,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M,UNKNOWN, 2 of the 5 fishermen were so seriously injured they died of their wounds,Y,UNKNOWN,Shark involvement probable,1907,OCT,FISHING,Yes,INJURED,UNKONWN
5445,14-Oct-1907,1907,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Merewether Beach, near Newcastle",Bathing,M,UNKNOWN,Lacerations to left arm from shoulder to wrist,N,11h00,UNKNOWN,1907,OCT,BATHING,No,LACERATIONS,UNKONWN
5447,08-Oct-1907,1907,Unprovoked,USA,HAWAII,"Kalepolepo, Kihei, Maui","Diving, retrieving fish caught in net",M,UNKNOWN,"Arm severed at elbow,  surgically amputated at shoulder ",N,09h00,UNKNOWN,1907,OCT,DIVING,No,LIMB SEVERED,UNKONWN
5449,11-Sep-1907,1907,Unprovoked,CROATIA,"SPLIT-DALMATIA COUNT,","Sucurja, Hvar Island,",Swimming,F,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1907,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
5450,Reported 12-Aug-1907,1907,Unprovoked,CROATIA,PRIMORJE-GORSKI KOTAR COUNTY,Krk Island,Swimming,F,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1907,AUG,SWIMMING,No,FATAL INJURY,UNKONWN
5451,Reported 12-Aug-1907,1907,Unprovoked,CROATIA,PRIMORJE-GORSKI KOTAR COUNTY,Krk Island,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1907,AUG,SWIMMING,No,FATAL INJURY,UNKONWN
5452,Reported 08-Aug-1907,1907,Unprovoked,USA,NEW JERSEY,Lower Delaware Bay,Wading,M,UNKNOWN,Abrasion to chest,N,UNKNOWN,UNKNOWN,1907,AUG,WADING,No,OTHERS,UNKONWN
5453,Reported 14-Jul-1907,1907,Unprovoked,CROATIA,"SPLIT-DALMATIA COUNT,","Su?uraj, Hvar Island",Swimming,F,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1907,JUL,SWIMMING,No,FATAL INJURY,UNKONWN
5455,Jul-1907,1907,Unprovoked,USA,SOUTH CAROLINA,Small creek near Coles Island,Floating in creek,M,UNKNOWN,Slight injuries to left knee & calf ,N,UNKNOWN,1.5 m [5'] shark,1907,JUL,FLOATING,No,INJURED,UNKONWN
5456,20-Apr-1907,1907,Unprovoked,MEXICO,OAXACA,Salina Cruz,Bathing,M,UNKNOWN," 3 fingers & thigh lacerated, foot crushed",N,UNKNOWN,UNKNOWN,1907,APR,BATHING,No,LACERATIONS,UNKONWN
5457,26-Mar-1907,1907,Unprovoked,USA,FLORIDA,"Garden Key, Charlotte County","Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,UNKNOWN,"FATAL, shark bit his side, nearly cutting him in two  ",Y,UNKNOWN,UNKNOWN,1907,MAR,FISHING,Yes,FATAL INJURY,UNKONWN
5458,07-Mar-1907,1907,Unprovoked,MALTA,HARARE PROVINCE,Marsaskala,Fishing,M,UNKNOWN,"FATAL,            Fell overboard and were killed by shark",Y,UNKNOWN,"White shark, 6 m",1907,MAR,FISHING,Yes,FATAL INJURY,WHITE
5459,09-Feb-1907,1907,Unprovoked,PHILIPPINES,LUZON ISLAND,Manila Bay,"Row boat (from the gunboat Elcano) was sinking, put finger in hole",M,UNKNOWN,Finger severed,N,UNKNOWN,UNKNOWN,1907,FEB,SINKING,No,LIMB SEVERED,UNKONWN
5460,05-Feb-1907,1907,Unprovoked,NEW ZEALAND,SOUTH ISLAND,Port Moeraki,Standing,M,55,"FATAL, leg severely bitten     ",Y,UNKNOWN,UNKNOWN,1907,FEB,STANDING,No,FATAL INJURY,UNKONWN
5461,03-Feb-1907,1907,Unprovoked,AUSTRALIA,QUEENSLAND,Ross Creek,Bathing,M,18,FATAL,Y,Morning,UNKNOWN,1907,FEB,BATHING,No,FATAL INJURY,UNKONWN
5462,1907,1907,Unprovoked,VIETNAM,KHÁNH HÒA PROVINCE,Nha Trang,Fishing,M,20,"Leg severely bitten, surgically amputated",N,UNKNOWN,UNKNOWN,1907,UNKNOWN,FISHING,Yes,BITTEN,UNKONWN
5463,1907,1907,Unprovoked,USA,HAWAII,"Pepe'ekeo, Honomu, Hawai'i","Net fishing, fell into the water",M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1907,UNKNOWN,FISHING,Yes,FATAL INJURY,UNKONWN
5464,16-Nov-1906,1906,Unprovoked,JAMAICA,WESTMORELAND PARISH,Cabaritta River mouth,Fishing,M,UNKNOWN,Leg bitten,N,UNKNOWN,UNKNOWN,1906,NOV,FISHING,Yes,BITTEN,UNKONWN
5465,Reported 10-Oct-1906,1906,Unprovoked,USA,HAWAII,UNKNOWN,UNKNOWN,M,UNKNOWN,Buttock bitten,N,UNKNOWN,UNKNOWN,1906,OCT,UNKONWN,No,BITTEN,UNKONWN
5466,Reported 10-Oct-1906,1906,Unprovoked,USA,HAWAII,UNKNOWN,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1906,OCT,SWIMMING,No,FATAL INJURY,UNKONWN
5467,Reported 10-Oct-1906,1906,Unprovoked,USA,HAWAII,UNKNOWN,Diving,M,UNKNOWN,Arm severed,N,UNKNOWN,UNKNOWN,1906,OCT,DIVING,No,LIMB SEVERED,UNKONWN
5468,Reported 10-Oct-1906,1906,Unprovoked,USA,HAWAII,UNKNOWN,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1906,OCT,SWIMMING,No,FATAL INJURY,UNKONWN
5469,Reported 27-Sep-1906,1906,Unprovoked,INDONESIA,JAVA,Lorok Bay,Swimming,M,UNKNOWN,Thumb & index finger of left hand severed,N,UNKNOWN,UNKNOWN,1906,SEP,SWIMMING,No,LIMB SEVERED,UNKONWN
5470,Reported 27-Sep-1906,1906,Unprovoked,INDONESIA,JAVA,Lorok Bay,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1906,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
5471,Reported 05-Sep-1906,1906,Unprovoked,AUSTRALIA,TORRES STRAIT,Mabiuag,Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1906,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
5472,Sep-1906,1906,Provoked,USA,CALIFORNIA,"Avalon, Los Angeles County",Fishing,M,UNKNOWN,PROVOKED INCIDENT        No injury; shirt torn by gaffed shark,N,UNKNOWN,"Shortfin mako shark, 175-lb",1906,SEP,FISHING,Yes,NO INJURY,MAKO
5473,20-Aug-1906,1906,Unprovoked,YEMEN,ADEN,UNKNOWN,Diving around anchored liner,M,UNKNOWN,Leg severed. Injury originally thought due to boat's propeller,N,UNKNOWN,UNKNOWN,1906,AUG,DIVING,No,LIMB SEVERED,UNKONWN
5474,04-Aug-1906,1906,Unprovoked,USA,MARYLAND,"Tangier Sound, Somerset County",Fell overboard,M,UNKNOWN,FATAL,Y,UNKNOWN,Remains recovered 5 days later,1906,AUG,UNKONWN,No,FATAL INJURY,UNKONWN
5475,Reported 05-Jul-1906,1906,Unprovoked,USA,MISSISSIPPI,"Bay St. Louis, Hancock County",Swimming,M,UNKNOWN,FATAL,Y,UNKNOWN,Fishermen recovered partial remains from shark a week later,1906,JUL,SWIMMING,No,FATAL INJURY,FROM
5477,Reported 27-Apr-1906,1906,Unprovoked,INDONESIA,MALUKU PROVINCE,Aru Islands,Hard hat diving,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1906,APR,DIVING,No,FATAL INJURY,UNKONWN
5478,16-Apr-1906,1906,Provoked,AUSTRALIA,VICTORIA,Western Port Bay,Shooting sharks,M,UNKNOWN,Finger severed by shark he had shot & stabbed PROVOKED INCIDENT,N,UNKNOWN,13' shark,1906,APR,SHOOTING,No,LIMB SEVERED,UNKONWN
5479,14-Apr-1906,1906,Unprovoked,AUSTRALIA,QUEENSLAND,Lizard Island,Diving for beche-de-mer,M,17,FATAL,Y,UNKNOWN,UNKNOWN,1906,APR,DIVING,No,FATAL INJURY,UNKONWN
5480,Reported 10-April 1906,1906,Sea Disaster,INDONESIA,UNKNOWN,40 miles from Tahane Island,The schooner Tahitienne foundered in a hurricane,M,UNKNOWN,FATAL x 2,Y,UNKNOWN,UNKNOWN,1906,UNKNOWN,UNKONWN,No,FATAL INJURY,UNKONWN
5483,28-Jan-1906,1906,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Georges River,Bathing,M,31,FATAL,Y,14h10,UNKNOWN,1906,JAN,BATHING,No,FATAL INJURY,UNKONWN
5484,20-Jan-1906,1906,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,"Battery Beach, Durban",Washing horses,M,30,"FATAL, hips & thigh bitten ",Y,12h00,1.8 m to 2.7 m [6' to 9'] shark,1906,JAN,WASHING,No,FATAL INJURY,UNKONWN
5485,31-Dec-1905,1905,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,"Back Beach, Durban",Floating or standing,M,UNKNOWN,"FATAL, left torso, buttocks, thigh & foot bitten ",Y,Morning,2.4 m [8'] shark,1905,DEC,FLOATING,No,FATAL INJURY,UNKONWN
5487,29-Sep-1905,1905,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Waverly, Sydney",Swimming,M,UNKNOWN,FATAL. Shark involvement suspected but not confirmed,Y,UNKNOWN,UNKNOWN,1905,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
5488,Reported 06-Sep-1905,1905,Provoked,USA,FLORIDA,"Fort Pierce, St Lucie County",Fishing,M,UNKNOWN,Lacerations to leg from hooked shark PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,1905,SEP,FISHING,Yes,LACERATIONS,UNKONWN
5490,Late Aug-1905,1905,Unprovoked,USA,NEW JERSEY,"Atlantic City, Atlantic County",Swimming from naptha launch after a day of fishing,M,UNKNOWN,3 toes of right foot were severed,N,UNKNOWN,UNKNOWN,1905,AUG,SWIMMING,No,LIMB SEVERED,UNKONWN
5491,Aug-1905,1905,Unprovoked,PHILIPPINES,LUZON ISLAND,Manila Bay,Bathing,M,21,Leg bitten,N,UNKNOWN,UNKNOWN,1905,AUG,BATHING,No,BITTEN,UNKONWN
5492,29-Jul-1905,1905,Unprovoked,USA,NORTH CAROLINA,"Davis Shore, east of Beaufor, Carteret Countyt",Wading,M,16,Body not recovered FATAL,Y,Afternoon,UNKNOWN,1905,JUL,WADING,No,FATAL INJURY,UNKONWN
5494,10-Jul-1905,1905,Unprovoked,INDONESIA,NUSA TENGGARA,Off Rakit Island,Jumped or fell overboard,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1905,JUL,UNKONWN,No,FATAL INJURY,UNKONWN
5495,Jul-1905,1905,Unprovoked,USA,NORTH CAROLINA,"Ocracoke, Hyde County",Fishing,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,1905,JUL,FISHING,Yes,FATAL INJURY,UNKONWN
5496,22-May-1905,1905,Unprovoked,USA,FLORIDA,"Pablo Beach, Jacksonville, Duval County",Swimming,M,UNKNOWN,Lacerations to back & right leg,N,UNKNOWN,UNKNOWN,1905,MAY,SWIMMING,No,LACERATIONS,UNKONWN
5497,06-Apr-1905,1905,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,"Back Beach, Durban",Swimming,M,26,"FATAL, thigh bitten, femoral artery severed  ",Y,16h30,UNKNOWN,1905,APR,SWIMMING,No,FATAL INJURY,UNKONWN
5498,26-Mar-1905,1905,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Lismore,Bathing,M,40,Righ thigh severely bitten,N,Morning,5' shark,1905,MAR,BATHING,No,BITTEN,UNKONWN
5502,1905,1905,Boat,USA,NORTH CAROLINA,"Cape Lookout, Carteret County",Harpooning turtles,X,UNKNOWN,"No injury, shark bumped skiff",N,UNKNOWN,20' shark,1905,UNKNOWN,HARPOONING,Yes,NO INJURY,UNKONWN
